0.01172	0.01020	0.01497	0.01327	0.01294	0.01473	0.00929	0.00309	0.00089	0.00135	0.01207	0.00696	0.00205	
0.00395	0.00445	0.00177	0.00774	0.01268	0.00668	0.00885	0.00065	0.00535	0.01273	0.00075	0.01375	0.00031	
0.01396	0.00520	0.01256	0.00059	0.01254	0.00504	0.00635	0.00809	0.01226	0.00217	0.01179	0.00654	0.00604	
0.01480	0.00157	0.00315	0.00595	0.01226	0.01380	0.00296	0.00455	0.00548	0.00656	0.00163	0.00113	0.00477	
0.00973	0.00871	0.01303	0.00766	0.00166	0.00172	0.01304	0.01171	0.00766	0.01454	0.01320	0.00817	0.01385	
0.00291	0.00497	0.00843	0.00121	0.00112	0.00022	0.00953	0.01423	0.00325	0.00417	0.00769	0.00489	0.01332	
0.00147	0.00573	0.01290	0.00812	0.00640	0.01272	0.01466	0.00583	0.01485	0.00058	0.00559	0.00197	0.00079	
0.01463	0.01151	0.00400	0.00746	0.01209	0.00262	0.01230	0.00371	0.00103	0.00634	0.01144	0.00905	0.00486	
0.00996	0.00291	0.00812	0.00461	0.01495	0.01104	0.00480	0.00556	0.01180	0.00181	0.01344	0.00554	0.00632	
0.00136	0.00024	0.01016	0.01019	0.00290	0.01455	0.00903	0.01232	0.00477	0.00015	0.01190	0.01045	0.00887	
0.00662	0.00332	0.00407	0.01185	0.01373	0.00437	0.00107	0.00653	0.00076	0.00221	0.00701	0.01131	0.00413	
0.01405	0.00508	0.01479	0.01061	0.00481	0.00941	0.01007	0.01274	0.00544	0.01333	0.00296	0.00495	0.01294	
0.01170	0.00327	0.00326	0.00540	0.00517	0.00877	0.00499	0.00126	0.01252	0.00518	0.00600	0.01338	0.01381	
0.00435	0.00455	0.00065	0.00660	0.01400	0.01229	0.00600	0.00649	0.00497	0.00944	0.01364	0.01129	0.00033	
0.01002	0.00988	0.00721	0.00359	0.01117	0.00954	0.00886	0.00474	0.00782	0.00369	0.01081	0.00592	0.01329	
0.01342	0.00687	0.00268	0.00850	0.01423	0.00433	0.01175	0.01116	0.01401	0.00379	0.00532	0.00310	0.00410	
0.01479	0.00428	0.00082	0.00335	0.00247	0.00687	0.00772	0.00882	0.00082	0.01377	0.00671	0.00799	0.00056	
0.00728	0.00711	0.00410	0.01408	0.00368	0.00898	0.00276	0.00220	0.01328	0.00589	0.01295	0.01407	0.00698	
0.00421	0.01154	0.00618	0.01339	0.01435	0.00290	0.00600	0.00801	0.00308	0.01449	0.00427	0.01143	0.01055	
0.00514	0.00459	0.00549	0.01383	0.00826	0.01131	0.01099	0.00866	0.01356	0.01168	0.00618	0.00353	0.01326	
0.01375	0.00965	0.00110	0.01189	0.01264	0.01262	0.01254	0.00351	0.01013	0.00056	0.01493	0.00434	0.00571	
0.00783	0.01235	0.00407	0.01091	0.00635	0.01056	0.00845	0.00263	0.01476	0.00272	0.01384	0.00928	0.00485	
0.00602	0.00661	0.00649	0.00087	0.01063	0.00901	0.00826	0.01035	0.01332	0.00748	0.00847	0.00577	0.00392	
0.00583	0.00184	0.00147	0.00154	0.00834	0.01410	0.00925	0.01314	0.00229	0.00011	0.00915	0.01023	0.00254	
0.00256	0.00707	0.01183	0.00715	0.00702	0.00663	0.01374	0.00525	0.01316	0.01328	0.01342	0.00777	0.00573
